Database,Badge,Count,Proportion
SRA (n = 1053),Bronze,387,0.367521368
SRA (n = 1053),Silver,542,0.514719848
SRA (n = 1053),Gold,124,0.117758784
ENA (n = 289),Bronze,109,0.37716263
ENA (n = 289),Silver,132,0.456747405
ENA (n = 289),Gold,48,0.166089965
CNCB (n = 52),Bronze,14,0.269230769
CNCB (n = 52),Silver,29,0.557692308
CNCB (n = 52),Gold,9,0.173076923
MG-RAST (n = 40),Bronze,12,0.3
MG-RAST (n = 40),Silver,25,0.625
MG-RAST (n = 40),Gold,3,0.075
DDBJ (n = 35),Bronze,19,0.542857143
DDBJ (n = 35),Silver,14,0.4
DDBJ (n = 35),Gold,2,0.057142857
Figshare (n = 28),Bronze,13,0.464285714
Figshare (n = 28),Silver,6,0.214285714
Figshare (n = 28),Gold,9,0.321428571
