pmc_id,badge,is_accession_available,database,sequencing_method,is_primer_seq_available,is_code_available
PMC10813514,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10814853,00_None,FALSE,,shotgun,NA,TRUE
PMC10821022,00_None,FALSE,,marker-gene,TRUE,TRUE
PMC10824975,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10828666,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10835015,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10844036,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10878022,00_None,FALSE,,marker-gene,FALSE,TRUE
PMC10881109,00_None,FALSE,,shotgun,NA,FALSE
PMC10885071,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10892346,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10907812,00_None,FALSE,,marker-gene,FALSE,TRUE
PMC10909814,00_None,FALSE,,shotgun,NA,FALSE
PMC10910051,00_None,"""Data not disclosed""",NMDC,shotgun,NA,TRUE
PMC10930907,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC10938217,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10967912,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC10973929,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC11000514,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11006835,00_None,FALSE,,shotgun,NA,FALSE
PMC11012253,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11017998,00_None,FALSE,,marker-gene,TRUE,FALSE
PMC11020204,00_None,FALSE,,shotgun,NA,FALSE
PMC11052010,00_None,FALSE,,shotgun,NA,FALSE
PMC11077820,00_None,"""No public data is associated with this project""",EMBL-EBI European Nucleotide Archive,shotgun,NA,FALSE
PMC11089716,00_None,No public records found for given accession IDs,"EMBL-EBI European Nucleotide Archive, NCBI Sequence Read Archive",marker-gene,FALSE,FALSE
PMC11098719,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11123992,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11124125,00_None,FALSE,,shotgun,NA,FALSE
PMC11132091,00_None,FALSE,,marker-gene,FALSE,FALSE
PMC11137223,00_None,No public records found for given accession IDs,NCBI Sequence Read Archive,marker-gene,TRUE,FALSE
PMC11168268,00_None,FALSE,,marker-gene,FALSE,FALSE
